Title,Text,Timestamp
Note 1,"""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment…",August-22-2018 23:19:16
Lorem Ipsum,"""Neque porro quisquam est qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit...""
""There is no one who loves pain itself, who seeks after it and wants to have it, simply because it is pain...""",August-04-2018 10:13:58
Where does it come from?,"Contrary to popular belief, Lorem Ipsum is not simply random text. It has roots in a piece of classical Latin literature from 45 BC, making it over 2000 years old. Richard McClintock, a Latin professor at Hampden-Sydney College in Virginia, looked up one of the more obscure Latin words, consectetur, from a Lorem Ipsum passage, and going through the cites of the word in classical literature, discovered the undoubtable source. Lorem Ipsum comes from sections 1.10.32 and 1.10.33 of ""de Finibus Bonorum et Malorum"" (The Extremes of Good and Evil) by Cicero, written in 45 BC. This book is a treatise on the theory of ethics, very popular during the Renaissance. The first line of Lorem Ipsum, ""Lorem ipsum dolor sit amet.."", comes from a line in section 1.10.32.",December-14-2012 23:40:12
1914 translation by H. Rackham,"But I must explain to you
how all this mistaken idea
of denouncing pleasure
and praising pain was born
and I will give you a complete
account of the system…",June-01-2010 01:18:25
Why do we use it?,"It is a long established fact that a reader will be distracted by the readable content of a page when looking at its layout. The point of using Lorem Ipsum is that it has a more-or-less normal distribution of letters, as opposed to using 'Content here, content here', making it look like readable English. Many desktop publishing packages and web page editors now use Lorem Ipsum as their default model text, and a search for 'lorem ipsum' will uncover many web sites still in their infancy. Various versions have evolved over the years, sometimes by accident, sometimes on purpose (injected humour and the like).",February-12-2010 12:30:59
Note 6,"...so blinded by desire, 

that they cannot foresee the pain and trouble that are bound to ensue;

and equal blame belongs to those who fail in their duty through weakness of will, 

which is the same as saying through shrinking from toil and pain. ",October-06-2008 16:18:07
Note 7,"""Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, ...""",November-29-2001 06:18:24
What is Lorem Ipsum?,"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",January-20-1999 17:16:59
"The standard Lorem Ipsum passage, used since the 1500s","""Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.""",July-23-1996 19:12:13
Cntd',"The standard chunk of Lorem Ipsum used since the 1500s is reproduced below for those interested. Sections 1.10.32 and 1.10.33 from ""de Finibus Bonorum et Malorum"" by Cicero are also reproduced in their exact original form, accompanied by English versions from the 1914 translation by H. Rackham.",April-05-1980 16:08:10
